None
step: 20, score: 11
step: 44, score: 16
step: 277, score: 57
step: 541, score: 82
step: 807, score: 57
step: 865, score: 57
step: 889, score: 16
step: 941, score: 67
step: 969, score: 26
step: 999, score: 26
step: 1052, score: 57
step: 1280, score: 36
step: 1302, score: 31
step: 1323, score: 21
step: 1341, score: 11
step: 1562, score: 11
step: 1816, score: 62
step: 1836, score: 31
step: 2525, score: 16
step: 2749, score: 11
step: 2791, score: 16
step: 3014, score: 31
step: 3033, score: 11
step: 3054, score: 16
step: 3090, score: 26
step: 3114, score: 21
step: 3142, score: 31
step: 3163, score: 6
step: 3226, score: 36
step: 3256, score: 26
step: 3477, score: 26
step: 3492, score: 11
step: 3510, score: 6
step: 3532, score: 21
step: 3560, score: 26
step: 3586, score: 31
step: 3809, score: 6
step: 3844, score: 26
step: 3864, score: 11
step: 3934, score: 11
step: 3983, score: 51
step: 4163, score: 67
step: 4490, score: 72
step: 4560, score: 52
step: 4573, score: 6
step: 4595, score: 16
step: 4623, score: 21
step: 4853, score: 11
step: 4878, score: 6
step: 4892, score: 26
step: 5507, score: 16
step: 5740, score: 26
step: 5764, score: 16
step: 5791, score: 26
step: 6044, score: 26
step: 6075, score: 26
step: 6147, score: 62
step: 6167, score: 26
step: 6193, score: 31
step: 6235, score: 16
step: 6264, score: 26
step: 6282, score: 21
step: 6320, score: 16
step: 6357, score: 11
step: 6389, score: 16
step: 6414, score: 11
step: 6431, score: 11
step: 6452, score: 21
step: 7069, score: 16
step: 7088, score: 11
step: 7102, score: 11
step: 7128, score: 6
step: 7152, score: 21
step: 7171, score: 21
step: 7192, score: 16
step: 7217, score: 11
